match_id,date,venue,city,innings,team,team_total_score,overs_played
1303309,10-07-2022,"The Village, Malahide, Dublin",Dublin,1,Ireland,300,51.2
1303309,10-07-2022,"The Village, Malahide, Dublin",Dublin,2,New Zealand,305,51.5
1303310,12-07-2022,"The Village, Malahide, Dublin",Dublin,1,Ireland,216,50.3
1303310,12-07-2022,"The Village, Malahide, Dublin",Dublin,2,New Zealand,219,39.2
1303311,15-07-2022,"The Village, Malahide, Dublin",Dublin,1,New Zealand,360,51.5
1303311,15-07-2022,"The Village, Malahide, Dublin",Dublin,2,Ireland,359,51.3
1305496,25-03-2022,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,1,Papua New Guinea,292,51.2
1305496,25-03-2022,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2,Nepal,286,51
1305497,26-03-2022,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,1,Nepal,278,50.8
1305497,26-03-2022,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2,Papua New Guinea,283,50
1307296,14-06-2022,Pallekele International Cricket Stadium,Kandy,1,Sri Lanka,300,51
1307296,14-06-2022,Pallekele International Cricket Stadium,Kandy,2,Australia,282,43.2
1307297,16-06-2022,Pallekele International Cricket Stadium,Kandy,1,Sri Lanka,220,48.2
1307297,16-06-2022,Pallekele International Cricket Stadium,Kandy,2,Australia,189,38.2
1307298,19-06-2022,"R Premadasa Stadium, Colombo",Colombo,1,Australia,291,50.8
1307298,19-06-2022,"R Premadasa Stadium, Colombo",Colombo,2,Sri Lanka,292,48.8
1307299,21-06-2022,"R Premadasa Stadium, Colombo",Colombo,1,Sri Lanka,258,50
1307299,21-06-2022,"R Premadasa Stadium, Colombo",Colombo,2,Australia,254,50.7
1307300,24-06-2022,"R Premadasa Stadium, Colombo",Colombo,1,Sri Lanka,160,43.7
1307300,24-06-2022,"R Premadasa Stadium, Colombo",Colombo,2,Australia,164,40.8
1307479,31-07-2022,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,1,Scotland,306,51.7
1307479,31-07-2022,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,2,New Zealand,307,46
1308244,09-04-2022,Dubai International Cricket Stadium,Dubai,1,Scotland,284,51.3
1308244,09-04-2022,Dubai International Cricket Stadium,Dubai,2,Papua New Guinea,122,37.3
1308245,10-04-2022,Dubai International Cricket Stadium,Dubai,1,Scotland,215,51.3
1308245,10-04-2022,Dubai International Cricket Stadium,Dubai,2,Oman,211,49.7
1308246,12-04-2022,Dubai International Cricket Stadium,Dubai,1,Papua New Guinea,224,50.7
1308246,12-04-2022,Dubai International Cricket Stadium,Dubai,2,Oman,227,46
1308247,13-04-2022,Dubai International Cricket Stadium,Dubai,1,Scotland,287,51.3
1308247,13-04-2022,Dubai International Cricket Stadium,Dubai,2,Papua New Guinea,164,36.5
1308248,15-04-2022,Dubai International Cricket Stadium,Dubai,1,Oman,225,50.3
1308248,15-04-2022,Dubai International Cricket Stadium,Dubai,2,Scotland,226,50.5
1308249,16-04-2022,Dubai International Cricket Stadium,Dubai,1,Oman,277,52.7
1308249,16-04-2022,Dubai International Cricket Stadium,Dubai,2,Papua New Guinea,192,45.5
1311737,16-08-2022,"Hazelaarweg, Rotterdam",Rotterdam,1,Pakistan,314,51.5
1311737,16-08-2022,"Hazelaarweg, Rotterdam",Rotterdam,2,Netherlands,298,51.8
1311738,18-08-2022,"Hazelaarweg, Rotterdam",Rotterdam,1,Netherlands,186,44.8
1311738,18-08-2022,"Hazelaarweg, Rotterdam",Rotterdam,2,Pakistan,191,34.5
1311739,21-08-2022,"Hazelaarweg, Rotterdam",Rotterdam,1,Pakistan,206,50.8
1311739,21-08-2022,"Hazelaarweg, Rotterdam",Rotterdam,2,Netherlands,197,51.2
1312798,28-05-2022,"Choice Moosa Stadium, Pearland",Pearland,1,United States of America,310,52.3
1312798,28-05-2022,"Choice Moosa Stadium, Pearland",Pearland,2,Scotland,206,46.7
1312799,29-05-2022,"Choice Moosa Stadium, Pearland",Pearland,1,Scotland,300,51.2
1312799,29-05-2022,"Choice Moosa Stadium, Pearland",Pearland,2,United States of America,189,43.7
1312800,31-05-2022,"Moosa Cricket Stadium, Pearland",Pearland,1,United Arab Emirates,215,51.2
1312800,31-05-2022,"Moosa Cricket Stadium, Pearland",Pearland,2,Scotland,217,48.7
1312801,01-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,1,United Arab Emirates,203,51
1312801,01-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,2,United States of America,204,45.8
1312802,03-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,1,Scotland,171,50.7
1312802,03-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,2,United Arab Emirates,172,44.5
1312803,04-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,1,United States of America,198,47
1312803,04-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,2,United Arab Emirates,200,40.5
1312804,08-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,1,United States of America,323,51.2
1312804,08-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,2,Oman,209,43.7
1312805,09-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,1,Oman,211,50.5
1312805,09-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,2,Nepal,198,50.5
1312806,11-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,1,Nepal,274,51
1312806,11-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,2,United States of America,274,51.3
1312807,12-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,1,Oman,280,51
1312807,12-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,2,United States of America,267,50.7
1312808,14-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,1,Oman,163,47.8
1312808,14-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,2,Nepal,167,33.8
1312809,15-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,1,United States of America,245,50.8
1312809,15-06-2022,"Moosa Cricket Stadium, Pearland",Pearland,2,Nepal,206,47.8
1315038,08-06-2022,Multan Cricket Stadium,Multan,1,West Indies,305,50.8
1315038,08-06-2022,Multan Cricket Stadium,Multan,2,Pakistan,306,51.3
1315039,10-06-2022,Multan Cricket Stadium,Multan,1,Pakistan,275,51
1315039,10-06-2022,Multan Cricket Stadium,Multan,2,West Indies,155,32.8
1315040,12-06-2022,Multan Cricket Stadium,Multan,1,Pakistan,269,49.5
1315040,12-06-2022,Multan Cricket Stadium,Multan,2,West Indies,216,38.3
1317152,10-07-2022,"Providence Stadium, Guyana",Providence,1,West Indies,149,41.8
1317152,10-07-2022,"Providence Stadium, Guyana",Providence,2,Bangladesh,151,33.5
1317153,13-07-2022,"Providence Stadium, Guyana",Providence,1,West Indies,108,35.5
1317153,13-07-2022,"Providence Stadium, Guyana",Providence,2,Bangladesh,112,22.2
1317154,16-07-2022,"Providence Stadium, Guyana",Providence,1,West Indies,178,49.3
1317154,16-07-2022,"Providence Stadium, Guyana",Providence,2,Bangladesh,179,49.3
1317476,28-08-2022,"Tony Ireland Stadium, Townsville",Townsville,1,Zimbabwe,200,48.3
1317476,28-08-2022,"Tony Ireland Stadium, Townsville",Townsville,2,Australia,201,35
1317477,31-08-2022,"Tony Ireland Stadium, Townsville",Townsville,1,Zimbabwe,96,28.8
1317477,31-08-2022,"Tony Ireland Stadium, Townsville",Townsville,2,Australia,100,15.8
1317478,03-09-2022,"Riverway Stadium, Townsville",Townsville,1,Australia,141,31.3
1317478,03-09-2022,"Riverway Stadium, Townsville",Townsville,2,Zimbabwe,142,39.5
1317479,06-09-2022,"Cazaly's Stadium, Cairns",Cairns,1,New Zealand,232,50.8
1317479,06-09-2022,"Cazaly's Stadium, Cairns",Cairns,2,Australia,233,46
1317480,08-09-2022,"Cazaly's Stadium, Cairns",Cairns,1,Australia,195,50.3
1317480,08-09-2022,"Cazaly's Stadium, Cairns",Cairns,2,New Zealand,82,33.3
1317481,11-09-2022,"Cazaly's Stadium, Cairns",Cairns,1,Australia,267,51.3
1317481,11-09-2022,"Cazaly's Stadium, Cairns",Cairns,2,New Zealand,242,50.5
1317489,17-11-2022,Adelaide Oval,Adelaide,1,England,287,51.8
1317489,17-11-2022,Adelaide Oval,Adelaide,2,Australia,291,47.8
1317490,19-11-2022,Sydney Cricket Ground,Sydney,1,Australia,280,50.3
1317490,19-11-2022,Sydney Cricket Ground,Sydney,2,England,208,39.7
1317491,22-11-2022,Melbourne Cricket Ground,Melbourne,1,Australia,355,49.7
1317491,22-11-2022,Melbourne Cricket Ground,Melbourne,2,England,142,32.8
